id,Name,Address,Example,Comment
,Individual uploads,Just use a search engine,,
,Generic file shares,"Drive, DropBox, FileShare, ...",,
,Qualidata Network,https://www.qualidatanet.com/en/,,
,Qualiservice,https://www.qualidatanet.com/de/ueber-uns/articles/das-netzwerk-detail.html,,
,QualiBi,https://www.qualidatanet.com/de/ueber-uns/articles/verbundpartner-werden.html,,
1,zenodo,https://zenodo.org/,https://zenodo.org/search?q=qdpx,
2,dryad,http://datadryad.org/,https://datadryad.org/search?q=qualitative+research,
3,uk-data-service,https://ukdataservice.ac.uk/learning-hub/qualitative-data/,https://datacatalogue.ukdataservice.ac.uk/searchresults?search=qualitative+data,
4,syracuse-qualitative-data-repository,https://qdr.syr.edu/,https://data.qdr.syr.edu/dataverse/main/?q=interview,
5,dans,https://dans.knaw.nl/en/,https://ssh.datastations.nl/dataverse/root?q=qdpx,Search by data station (like multiple repos)
6,dataverse-no,https://dataverse.no/dataverse.xhtml,https://dataverse.no/dataverse/root/?q=qdpx,Is this the same software as DANS?
7,ada,https://ada.edu.au/,https://dataverse.ada.edu.au/dataverse/ada/?q=codebook,
8,sada,https://datafirst.uct.ac.za/,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog?sk=interview,
9,hihsn,https://ihsn.org/,,
10,harvard-dataverse,https://dataverse.harvard.edu/,https://dataverse.harvard.edu/dataverse/harvard?q=qdpx,
11,finnish-social-science-data-archive,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/index?limit=50&study_language=en&lang=en&page=0&field=publishing_date&direction=descending&data_kind_string_facet=Qualitative,
12,aussda,https://aussda.at/en/,https://data.aussda.at/dataverse/AUSSDA/?q=qualitative,
13,cessda,https://www.cessda.eu/Tools/Data-Catalogue,https://datacatalogue.cessda.eu/?query=qualitative,
14,databray,https://databrary.org/,https://databrary.org/search?q=qualitative&tab=0,
15,icpsr,https://icpsr.umich.edu,https://www.icpsr.umich.edu/web/ICPSR/search/studies?q=interview,
16,open-data-uni-halle,https://opendata.uni-halle.de/,,
17,,https://www.cis.es/estudios/catalogo-estudios,,
18,harvard-murray-archive,https://www.murray.harvard.edu/,,
19,columbia-oral-history-archive,https://guides.library.columbia.edu/oral_history/digital_collections,,
20,sikt,https://sikt.no/en/find-data,,
